experiment,class,precision,recall,f1-score,support
RF current feature set,field_goal,0.8743169398907104,0.9605488850771869,0.9154066203514507,1166.0
RF current feature set,pass,0.7449600321753557,0.7447353872443082,0.7448476927716899,19897.0
RF current feature set,punt,0.9218681798341336,0.9966965549787635,0.9578231292517007,2119.0
RF current feature set,run,0.6587436332767402,0.6464081034252965,0.6525175742491003,15006.0
RF without yardage buckets,field_goal,0.8791208791208791,0.9605488850771869,0.9180327868852459,1166.0
RF without yardage buckets,pass,0.7410670097990696,0.7525757651907323,0.7467770490985712,19897.0
RF without yardage buckets,punt,0.9234470691163604,0.996224634261444,0.9584562996594779,2119.0
RF without yardage buckets,run,0.6611426986548329,0.6354125016660003,0.6480222916949844,15006.0
RF broad tendency features,field_goal,0.7342931937172775,0.9622641509433962,0.8329621380846325,1166.0
RF broad tendency features,pass,0.7518018258501948,0.7077448861637433,0.7291084187635912,19897.0
RF broad tendency features,punt,0.8532520325203252,0.9905615856536102,0.9167940598383927,2119.0
RF broad tendency features,run,0.6498804059732368,0.6699320271891244,0.6597538966365873,15006.0
RF rolling tendencies no buckets,field_goal,0.748172757475083,0.9656946826758147,0.8431299138899289,1166.0
RF rolling tendencies no buckets,pass,0.7417619367854741,0.720661406242147,0.7310594473335372,19897.0
RF rolling tendencies no buckets,punt,0.8595988538681948,0.9910335063709297,0.920648838228847,2119.0
RF rolling tendencies no buckets,run,0.6515527533704474,0.6473410635745702,0.6494400802273107,15006.0
Staged RF current features,field_goal,0.9015334947538337,0.9579759862778731,0.928898128898129,1166.0
Staged RF current features,pass,0.748992809424244,0.7381514801226315,0.7435326279552473,19897.0
Staged RF current features,punt,0.9342806394316163,0.9929211892402077,0.9627087622969572,2119.0
Staged RF current features,run,0.65601802757158,0.6596028255364521,0.657805542633083,15006.0
Staged RF no buckets,field_goal,0.8978278358809332,0.9571183533447685,0.9265255292652553,1166.0
Staged RF no buckets,pass,0.7458664104768165,0.741368045433985,0.7436104249634521,19897.0
Staged RF no buckets,punt,0.9322108994240141,0.9929211892402077,0.9616087751371115,2119.0
Staged RF no buckets,run,0.6558245590503655,0.6516726642676263,0.6537420195875255,15006.0
Staged RF rolling tendencies no buckets,field_goal,0.8550501156515035,0.951114922813036,0.9005278116118555,1166.0
Staged RF rolling tendencies no buckets,pass,0.7420689655172413,0.730059808011258,0.7360154033238752,19897.0
Staged RF rolling tendencies no buckets,punt,0.9217926186291739,0.9900896649362907,0.9547212741751991,2119.0
Staged RF rolling tendencies no buckets,run,0.6483377659574469,0.649806743969079,0.6490714238168143,15006.0
Simple logistic baseline,field_goal,0.7468688200395518,0.9716981132075472,0.8445769660827432,1166.0
Simple logistic baseline,pass,0.7505919494869772,0.7169422526008946,0.7333813171559302,19897.0
Simple logistic baseline,punt,0.9443186962426438,0.9844266163284568,0.9639556377079482,2119.0
Simple logistic baseline,run,0.6407452933945785,0.6600026656004265,0.6502314282900568,15006.0
Dummy most-frequent baseline,field_goal,0.0,0.0,0.0,1166.0
Dummy most-frequent baseline,pass,0.5210275479208129,1.0,0.685099423259017,19897.0
Dummy most-frequent baseline,punt,0.0,0.0,0.0,2119.0
Dummy most-frequent baseline,run,0.0,0.0,0.0,15006.0
