experiment,team,support,accuracy,macro_f1,weighted_f1,f1_field_goal,recall_field_goal,f1_pass,recall_pass,f1_punt,recall_punt,f1_run,recall_run
RF current feature set,ARI,1118,0.684257602862254,0.8026325337872653,0.6842140591331811,0.9382716049382716,1.0,0.6779026217228464,0.6328671328671329,0.9557522123893806,1.0,0.6386036960985626,0.6850220264317181
RF current feature set,ATL,1157,0.7579948141745895,0.8483196583949405,0.7575572126575232,0.9425287356321839,1.0,0.7441424554826617,0.676320272572402,0.9690721649484536,1.0,0.7375352775164629,0.8132780082987552
RF current feature set,BAL,1253,0.7358339984038308,0.8365080485589514,0.7350174312358743,0.9538461538461539,0.96875,0.6978484565014031,0.6856617647058824,0.959349593495935,1.0,0.7349879903923139,0.7427184466019418
RF current feature set,BUF,1294,0.7449768160741885,0.8157230866090848,0.7437354765291643,0.8860759493670886,1.0,0.7421180274858529,0.7403225806451613,0.916030534351145,0.9836065573770492,0.7186678352322524,0.7093425605536332
RF current feature set,CAR,1084,0.7398523985239852,0.8272024477770519,0.740733937749649,0.9122807017543859,1.0,0.7506750675067507,0.7152658662092625,0.9736842105263158,1.0,0.6721698113207547,0.7107231920199502
RF current feature set,CHI,1156,0.7301038062283737,0.8269296075202843,0.731403041601941,0.9411764705882353,0.96,0.7460711331679074,0.7158730158730159,0.9704142011834319,1.0,0.6500566251415628,0.684964200477327
RF current feature set,CIN,1152,0.7430555555555556,0.8237358760976459,0.7379584492362851,0.927536231884058,0.9696969696969697,0.7972318339100346,0.8240343347639485,1.0,1.0,0.5701754385964912,0.5313351498637602
RF current feature set,CLE,1229,0.7127746135069162,0.7698584340029576,0.6979558178652189,0.8709677419354839,1.0,0.7806451612903226,0.8333333333333334,0.9565217391304348,0.9887640449438202,0.47129909365558914,0.40310077519379844
RF current feature set,DAL,1201,0.7477102414654455,0.8205119404930339,0.7392344164829355,0.9574468085106383,0.9574468085106383,0.7946927374301676,0.8467261904761905,0.9323308270676691,1.0,0.5975773889636609,0.5285714285714286
RF current feature set,DEN,1195,0.7665271966527196,0.8345267387062623,0.7654237862388872,0.9041095890410958,0.9428571428571428,0.782608695652174,0.7864077669902912,0.9523809523809523,0.9876543209876543,0.6990077177508269,0.6876355748373102
RF current feature set,DET,1238,0.6833602584814217,0.7699917325715044,0.6817625175271396,0.8307692307692308,0.9,0.6648888888888889,0.6003210272873194,0.9108910891089109,1.0,0.6734177215189874,0.7402597402597403
RF current feature set,GB,1173,0.7058823529411765,0.825828225559704,0.704402840269583,0.9523809523809523,1.0,0.6980461811722913,0.7332089552238806,0.9914529914529915,1.0,0.661432777232581,0.6252319109461967
RF current feature set,HOU,1308,0.7454128440366973,0.8291314262207616,0.7467388883671238,0.9038461538461539,0.9591836734693877,0.7503852080123267,0.7007194244604317,0.9764705882352941,1.0,0.685823754789272,0.7442827442827443
RF current feature set,IND,1134,0.7292768959435626,0.8329428491390075,0.7265976658165062,0.9473684210526315,0.972972972972973,0.7373913043478261,0.7808471454880295,0.9855072463768116,1.0,0.661504424778761,0.6152263374485597
RF current feature set,JAX,1081,0.7678075855689177,0.8403856442299447,0.7675743895305014,0.9491525423728814,0.9655172413793104,0.7883082373782108,0.7712305025996534,0.9251700680272109,1.0,0.6989117291414753,0.7100737100737101
RF current feature set,KC,1336,0.6976047904191617,0.7973421541504436,0.6975393255208986,0.9111111111111111,1.0,0.7266387726638772,0.7107776261937244,0.9530201342281879,0.9861111111111112,0.5985985985985987,0.610204081632653
RF current feature set,LA,1254,0.6985645933014354,0.7737905909732092,0.6990142947259865,0.8235294117647058,0.9210526315789473,0.7204968944099379,0.6956521739130435,0.9271523178807947,0.958904109589041,0.6239837398373984,0.6449579831932774
RF current feature set,LAC,1168,0.7311643835616438,0.8246568656488739,0.7308137359060002,0.9333333333333333,0.9545454545454546,0.733275412684622,0.7189097103918228,0.9625,1.0,0.6695187165775401,0.6804347826086956
RF current feature set,LV,1156,0.7750865051903114,0.8389655282277434,0.7668065515483489,0.9629629629629629,0.975,0.8233657858136301,0.8705882352941177,0.9640287769784173,1.0,0.6055045871559633,0.5365853658536586
RF current feature set,MIA,1169,0.7245508982035929,0.8237265197221535,0.722970481047011,0.9397590361445783,0.9512195121951219,0.7521501172791243,0.7634920634920634,0.9743589743589743,1.0,0.6286379511059371,0.6122448979591837
RF current feature set,MIN,1201,0.7518734388009992,0.8345719384782425,0.7534630099252334,0.9176470588235294,0.9069767441860465,0.7613542526837325,0.7147286821705426,0.96,1.0,0.6992864424057085,0.7571743929359823
RF current feature set,NE,1120,0.7401785714285715,0.8122823009938767,0.7340646497914222,0.8695652173913043,0.9090909090909091,0.7729468599033816,0.8290155440414507,0.9722222222222222,1.0,0.6343949044585987,0.5684931506849316
RF current feature set,NO,1128,0.7411347517730497,0.8198029150791719,0.7404348310010277,0.8955223880597015,0.967741935483871,0.7532467532467533,0.7410562180579217,0.9554140127388535,1.0,0.6750285062713797,0.6804597701149425
RF current feature set,NYG,1149,0.7040905134899913,0.7983767331413262,0.705335068595336,0.9152542372881356,0.9642857142857143,0.7295285359801489,0.695583596214511,0.9390243902439024,1.0,0.6096997690531177,0.6439024390243903
RF current feature set,NYJ,1096,0.7144160583941606,0.8018666420981999,0.7153652535681354,0.9,0.9642857142857143,0.7567140600315956,0.740340030911901,0.9692307692307692,1.0,0.5815217391304348,0.5977653631284916
RF current feature set,PHI,1449,0.6756383712905452,0.7930935571685704,0.6754215101930193,0.9,0.9574468085106383,0.6319165998396151,0.6599664991624791,0.9714285714285714,1.0,0.669029057406095,0.6404341926729986
